,utterances
79,"– , aí / deu a  &toa [/3] deu uma toalha para ele "
80, -- compunha comida 
81,"-- , ele entrou na bota e chapéu /, quando ele assustou / estava lá no terreiro lá do palácio / lá do rei "
82,", aí / a moça ficava / &he, ficava / trancada / num quarto / debaixo de sete chaves "
83,", num deixava namorar com ninguém "
84,", aí / ele falou /bota e chapéu "
85,me põe lá no quarto onde é que a [/2] que a princesa está dormindo 
86, a Maria Bonita 
87,", aí /, quando ele assustou / já estava lá sentado na cama perto dela"
88, contando ela [/2] contando ela caso lá 
89,", aí / contou bastante caso/ ,  a  [/1] a [/1] &he &he / a empregada levou /,  &he &he um bule de café / um pires de pão /,  ele [/1] ele ajudou [/2] ajudou ela comer /, aí / quando o [/1] o dia estava clareando / hhh, -- a velha num via ele não "
90, a velha só levava os trem /e deixava lá 
91, -- quando o dia estávamos clareando / falou / – bota e chapéu me põe lá no terreiro 
92,"– , aí,/ no outro dia / deu a noite falou / – bota e chapéu / me põe lá no terreiro   &da [/1] &l [/1] xxxx no quarto da moça outra vez "
93,"– , aí sentou lá perto da cama / e já contou para ela o caso "
94, – ah / eu vim para cá para poder / namorar com você / ouvi falando em você / quero casar com você /– aí bateu bastante papo 
95,", aí / a velha tinha levado  bandeja de [/1] de um bolo mais uma xícara de café / mais pão / aí eles comeram tudo,"
96,  aí / quando o dia estava clareando – bota e chapéu / me põe lá no terreiro 
97,"–, aí / quando deu a noite /ele tornou /– bota e chapéu /me põe lá no terreiro  lá no quarto outra vez "
98,aí / ele sentou lá perto dela e falou / – eu quero saber / da vida de seu pai!
99," como é que seu pai passa,"
100, que você fique xxxx 
101," , aí / aí ela falou com [/1] com a velha  assim / mandou a velha falar,/ a velha / – ah  / &m [/1] falou com ele / sua filha quer saber da vida sua / como é  que [/1] que é a vida sua / – você chega lá / você fala com ela "
102," – quando a lua [/3] quando a lua é nova / eu sô rapazinho novo /, quando ela é minguante /eu sô um rapazinho mais de idade,"
103,   quando ela é crescente / eu sô um rapazinho de idade 
104, e quando ela é minguante / eu já sô / um velho  mais / mais decadente mesmo 
105,", aí,/ e minha vida mora / dentro do mar / dentro do mar tem uma caixa de bronze / dentro da caixa de bronze tem uma caixetinha / dentro da caixetinha tem [/1] tem uma pomba / dentro da pomba / tem um ovo /e dentro do ovo tem uma vela acesa "
106,", aí /menino /, a velha   &cont [/1] &el [/1] contou para ela esse caso / e ela contou para o rapaz,/ aí ele falou /– bota e chapéu / me põe eu lá na beira do mar "
107,", aí / chegou lá /, gritou para o Rei dos Boi, / &he ele gritou para os Rei dos [/4] para o Rei dos Peixe /, o Rei do Peixe veio /– quê se quer Joãzinnho? "
108,– Ah / para você tirar uma caixa de bronze / lá no fundo do mar 
109,", aí / o Peixe falou/ – a hora que você ver a água emborboiar / três vez assim você + a caixa vem subindo "
110,", aí / a água emborboiou / menino / quando ele olhou/ a caixa de bronze vinha subindo,/ jogou ela lá praia lá /, aí ele / gritou para os Rei dos Boi /, o Rei dos Boi veio / – o quê que você quer Joãozinho?"
111," – Ah,/ para você arrebentar a caixa para mim "
112,", quando arrebentou  a [/1] a [/1] a, caixa o velho já estava [/1] começou xxx, aí / o boi arrebentou a caixa / o [/1] o velho já estava de cama,"
113,"  aí, / arrebentou a outra caixinha,/  aí / dentro da caixinha  &ti [/1] tinha / a pomba juriti /, aí / a juriti / saiu voando / ele gritou para o Rei dos Gavião / o gavião veio depressa  /– o quê que você quer Joãozinho? "
114, – você pegar aquela juriti para mim 
115,"– o gavião saiu atrás da juriti, "
116,"aí /pegou a juriti /
&trou + ele matou a  juriti / &ti [/1] abriu ela / tirou o ovo / quebrou o ovo / apagou a vela / o velho morreu,"
117," quando ele chegou a casa estávamos cheia de gente / assim /fazendo quarto /, aí  /chegou / fez o enterro do velho / e tirou a moça de lá do quarto / e casou com ela / ficou morando tranquilo lá  / veio embora para casa da mãe dele /mais ela /e deixou a [/1] a viúva do velho lá só lá no palácio lá / do rei
"
